prevword,nextword,prevtag,nexttag,bitva ,igrat,les ,class
на,с,prep,prep,0,0,0,2
сузить,поиск,verb,noun,0,0,0,4
информационный,в,adj,prep,0,0,0,4
на,и,prep,conj,0,0,0,2
русский,индийский,adj,adj,0,0,0,2
-,на,-,prep,0,0,0,1
центр,стараться,noun,verb,0,0,0,2
хозяин ,и,noun,conj,0,0,0,2
видеть,центральный,verb,adj,0,0,0,2
из,он,prep,pronoun,0,0,0,3
Елисейский,работать,adj,verb,0,0,0,2
на,проиграть,prep,verb,0,0,0,2
правовой,-,adj,-,0,0,0,4
на,с,prep,prep,0,0,0,2
свой ,и,pronoun,conj,0,0,0,2
Волотов,разрушенный,noun,adj,0,0,0,1
на,чертёж,prep,noun,0,0,0,6
правовой,предстоять,adj,verb,0,0,0,4
правовой,система,adj,noun,0,0,0,4
центр,что,noun,conj,0,0,0,2
центр,на,noun,prep,0,0,0,2
по ,всё,prep,adj,0,1,0,2
в,заниматься,prep,verb,0,0,0,2
на,появиться,prep,verb,0,0,0,2
на,с,prep,prep,0,0,0,2
свой ,-,pronoun,-,0,0,0,2
на,два,prep,num,0,0,0,2
на,Энфилд,prep,noun,0,0,0,2
оставлять,бой,verb,noun,0,0,0,10
в,зрение,prep,noun,0,0,0,11
на,былой,prep,adj,0,0,0,2
Елисейский,в,adj,prep,0,0,0,2
по,и,prep,conj,0,0,0,1
большой,-,adj,-,0,0,0,1
в,обсевок,prep,noun,0,0,0,1
на,бой,prep,noun,0,0,0,10
свой ,игровой,pronoun,adj,0,0,0,4
футбольный,стадион ,adj,noun,0,0,0,2
во,берёзонька,prep,noun,0,0,0,1
выборный,чтобы,adj,conj,0,0,0,4
раздор ,где,noun,pronoun,0,0,0,4
информационный,кто,adj,pronoun,0,0,0,4
на,бой,prep,noun,0,0,0,10
в,зрение,prep,noun,0,0,0,11
дождливый,заливать,adj,verb,0,0,0,1
чистый,где,adj,pronoun,0,0,0,1
конституционный,-,adj,-,0,0,0,4
налоговый,-,adj,-,0,0,0,4
обширный,идиократический,adj,adj,0,0,0,4
законодательный,принимать,adj,verb,0,0,0,4
же,но,part,prep,0,1,0,2
пустой,на ,adj,prep,0,0,0,1
снежный,до ,adj,prep,0,0,0,2
царица ,-,noun,-,0,0,0,1
в,зрение,prep,noun,0,0,0,11
край,-,noun,-,0,0,0,1
в,под,prep,prep,0,0,0,1
окно,куст,noun,noun,0,0,0,1
стынуть,в,verb,prep,0,0,0,1
бы,и ,part,conj,0,0,0,1
лётный,неподвижно ,adj,adv,0,0,0,2
что,чуточку,conj,adv,0,0,0,7
травянистый,по,adj,prep,0,0,0,1
на,на,prep,prep,0,0,0,1
наш,зрение,pronoun,noun,0,0,0,11
электрический,попадать,adj,verb,0,0,0,3
лес,овраг,noun,noun,0,0,1,1
чистый,на ,adj,prep,0,0,0,1
Высокий,-,adj,-,0,0,0,1
тот,голый,pronoun,adj,0,0,0,1
засеваться,-,verb,-,0,0,0,1
степь,стрекотать,noun,verb,0,0,0,1
бесконечный,заросший,adj,adj,0,0,0,1
с,бой,prep,noun,0,0,0,10
картофельный,и,adj,conj,0,0,0,1
на ,но ,prep,conj,0,0,0,1
не,перейти,neg,verb,0,0,0,1
в,мой,prep,pronoun,0,0,0,11
ухоженный,бой,adj,noun,0,0,0,10
чистый,-,adj,-,0,0,0,1
в,в,prep,prep,0,0,0,1
к,где,prep,pronoun,0,0,0,1
раскинуться,-,verb,-,0,0,1,1
такой,и,pronoun,conj,0,0,0,1
далёкий,в,adj,prep,0,0,0,1
звезда,этот,noun,pronoun,0,0,0,1
крест,гореть,noun,verb,0,0,0,1
кромка,лес,noun,noun,0,0,1,1
магнитный,-,adj,-,0,0,0,3
на,и,prep,conj,0,0,0,2
в,и,prep,conj,0,0,0,1
один,ягода,num ,noun,0,0,0,1
представлять,деятельность,verb,noun,0,0,0,4
